slug,city,state,fqhc_name,address,city_addr,state_addr,zip,phone,website,services_includes_lab,distance_miles,website_source
berkeley-ca,Berkeley,CA,BERKELEY PRIMARY CARE,2001 Dwight Way,Berkeley,CA,94704,(510) 204-4666,https://WWW.LIFELONGMEDICAL.ORG,true,0.37,original
berkeley-ca,Berkeley,CA,WILLIAM BYRON RUMFORD MED CLINIC,2960 Sacramento St,Berkeley,CA,94702,(510) 549-3166,https://wohc@wohc.org,true,1.19,original
berkeley-ca,Berkeley,CA,Children's Hospital Oakland Teen,5400 Telegraph Ave,Oakland,CA,94609,(510) 428-3387,https://www.cho.org,true,2.1,original
berkeley-ca,Berkeley,CA,La Clinica Dental at Children's Hospital Oakland,4881 Telegraph Ave,Oakland,CA,94609,(510) 450-5806,http://www.laclinica.org,false,2.35,original
berkeley-ca,Berkeley,CA,El Cerrito High School-Based Health Center,540 Ashbury Ave,El Cerrito,CA,94530,(510) 231-1437,https://ecgauchos.wccusd.net/,true,2.99,places
berkeley-ca,Berkeley,CA,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY -- HEALTH CARE FOR THE HOMELESS PROGRAM -- ADMINISTRATIVE OFFICES,"1404 Franklin St, Suite 200",Oakland,CA,94612,(510) 891-8950,https://www.achch.org,true,4.49,original
bedford-nh,Bedford,NH,HCH Program at CMC Community Health Services Division,195 McGregor St,Manchester,NH,03102,(603) 663-8709,https://www.catholicmedicalcenter.org,true,4.38,original
bedford-nh,Bedford,NH,Amoskeag Health at ProHealth,2 Wall St,Manchester,NH,03101,(603) 626-9500,http://www.amoskeaghealth.org/,true,4.71,places
bedford-nh,Bedford,NH,Harbor Care Health and Wellness Center,615 Amherst St,Nashua,NH,03063,(603) 882-3616,https://www.harborcarenh.org/,true,9.58,places
bedford-nh,Bedford,NH,Healthy Together,10 Tsienneto Rd,Derry,NH,03038,(603) 895-3351,http://www.centerforlifemanagement.org/,true,10.45,places
bedford-nh,Bedford,NH,Methuen Family Health Center,147 Pelham St STE 1,Methuen,MA,01844,(978) 686-0090,https://methuenfamilyhealthcenter.org/,true,21.79,places
bedford-nh,Bedford,NH,Kathyrn P. Stoklosa Middle School,560 Broadway Street,Lowell,MA,01854,(978) 970-3346,https://www.lchealth.org,true,22.82,original
bensalem-pa,Bensalem,PA,BURLINGTON CITY HEALTH CENTER,651 High St,Burlington,NJ,08016,609-386-0775 x7115,https://www.sjfmc.org,true,5.22,original
bensalem-pa,Bensalem,PA,Cottman Community Health Center,3525 Cottman Ave,Philadelphia,PA,19149,(215) 471-2761,https://www.spectrumhs.org,true,7.48,original
bensalem-pa,Bensalem,PA,Philadelphia District Health Center #10,2230 Cottman Ave,Philadelphia,PA,19149,(215) 685-0639,http://www.phila.gov/health/index.html,true,7.83,original
bensalem-pa,Bensalem,PA,FRANKFORD AVENUE HEALTH CENTER,4510 Frankford Ave,Philadelphia,PA,19124,(215) 744-1302,https://WWW.GPHAINC.ORG,true,10.3,original
bensalem-pa,Bensalem,PA,Rising Sun Health Center,5675 N Front St,Philadelphia,PA,19120,(215) 279-9666,https://www.phmc.org/site/programs/health-care-centers/rising-sun,true,10.81,places
bensalem-pa,Bensalem,PA,Parkview Women and Children's Health Center,841 E Hunting Park Ave,Philadelphia,PA,19124,(215) 537-7695,https://dvch.org/parkview-health-center/,true,11.4,places
baton-rouge-la,Baton Rouge,LA,Homeless Drop-In Center,153 N 17th St APT 162,Baton Rouge,LA,70802,(225) 655-6422,https://www.haartinc.org,true,0.9,original
baton-rouge-la,Baton Rouge,LA,"CAPITOL CITY FAMILY HEALTH CENTER, INC.",3140 Florida St,Baton Rouge,LA,70806,(225) 650-2000,https://www.ccfhc.org,true,1.83,original
baton-rouge-la,Baton Rouge,LA,WBR Primary Care,203 Allendale Dr,Port Allen,LA,70767,(225) 389-1311,http://www.rkmcare.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9282652974696587998,true,2.13,places
baton-rouge-la,Baton Rouge,LA,"Baton Rouge Primary Care Collaborative, Inc. - Primary",7050 Plank Rd,Baton Rouge,LA,70811,(225) 774-1120,http://www.brpcc.org/,true,5.01,places
baton-rouge-la,Baton Rouge,LA,"EXCELth, Inc. FHC - BATON ROUGE",730 Colonial Dr STE E,Baton Rouge,LA,70806,(225) 201-9862,http://www.excelth.com/,true,5.22,places
baton-rouge-la,Baton Rouge,LA,Southeast Community Health Systems-Zachary,6351 Main St,Zachary,LA,70791,(225) 306-2000,https://www.shchc.org/?utm_source=GMBSocialClimb&utm_medium=SoutheastCommunityHealthSystems,true,14.14,places
barstow-ca,Barstow,CA,Mission City Community Network- Barstow II,401 E Buena Vista St,Barstow,CA,92311,(818) 895-3100,http://mccn.org/,true,0.91,places
barstow-ca,Barstow,CA,SAC Barstow,801 E Mountain View St,Barstow,CA,92311,(909) 382-7100,https://www.sachealth.org/barstow-clinic/,true,1.2,places
austin-tx,Austin,TX,CommUnityCare Austin Resource Center for the Homeless,500 E 7th St,Austin,TX,78701,(512) 978-9920,http://www.communitycaretx.org,true,0.33,original
austin-tx,Austin,TX,People's Community Clinic,2909 N Interstate 35,Austin,TX,78722,(512) 478-4939,https://www.austinpcc.org,true,1.83,original
austin-tx,Austin,TX,Lone Star Circle of Care at Oak Springs,3000 Oak Springs Dr,Austin,TX,78702,(877) 800-5722,https://www.lonestarcares.org,true,2.58,original
austin-tx,Austin,TX,CommuniCare Health Centers - Kyle,2810 Dacy Ln,Kyle,TX,78640,(512) 268-8900,https://www.communicaresa.org,true,18.37,original
austin-tx,Austin,TX,Family Health Center at Elgin,711 W 10th St,Elgin,TX,78621,(512) 229-3334,https://communityhealthtx.com/clinics/elgin/,true,22.33,places
athens-ga,Athens,GA,"Athens Neighborhood Health Center, Inc.",675 College Ave,Athens,GA,30601,(706) 546-5526,https://NA,true,1.22,original
athens-ga,Athens,GA,MedLink Athens,2000 Prince Ave,Athens,GA,30606,(706) 352-9705,https://www.medlinkga.org,true,2.61,original
athens-ga,Athens,GA,"Four Corners Primary Care Centers, Hoschton",115 Towne Center Pkwy STE 113,Hoschton,GA,30548,(770) 806-2928,https://fcpchealth.org/,true,24.01,places
arlington-va,Arlington,VA,Neighborhood Health at Arlington CSB,2120 Washington Blvd,Arlington,VA,22204,(703) 535-5568,http://www.neighborhoodhealthva.org/,true,1.02,places
arlington-va,Arlington,VA,Oyster Adams Bilingual School - Oyster Campus (SBMH),2801 Calvert St NW,Washington,DC,20008,(202) 671-6130,http://oysteradamsbilingual.org/,true,3.16,places
arlington-va,Arlington,VA,Downtown BID,1313 New York Ave NW Bsmt # 1,Washington,DC,20005,(202) 469-4699,https://www.unityhealthcare.org,true,3.45,original
arlington-va,Arlington,VA,Community of Hope Marie Reed Center,2155 Champlain St NW,Washington,DC,20009,(202) 232-9022,https://www.communityofhopedc.org,true,3.6,original
arlington-va,Arlington,VA,Whitman-Walker Health,1525 14th St NW,Washington,DC,20005,(202) 745-7000,http://www.whitman-walker.org/,true,3.68,places
arlington-va,Arlington,VA,LA CLINICA DEL PUEBLO,2831 15th St NW,Washington,DC,20009,(202) 462-4788,https://www.lcdp.org,true,4.11,original
boynton-beach-fl,Boynton Beach,FL,Genesis Community Health-Boynton Medical,709 S Federal Hwy,Boynton Beach,FL,33435,(561) 735-6553,https://www.gencomhealth.org/,true,0.57,places
boynton-beach-fl,Boynton Beach,FL,FoundCare Boynton Beach,1901 S Congress Ave STE 100,Boynton Beach,FL,33426,(561) 274-6400,http://www.foundcare.org/,true,1.77,places
boynton-beach-fl,Boynton Beach,FL,Health Care District Community Health Center - Delray Beach,"200 Congress Park Dr, Ste 100",Delray Beach,FL,33445,(561) 642-1000,https://www.hcdpbc.org/for-patients/primary-care-clinics,true,5.07,original
boynton-beach-fl,Boynton Beach,FL,FAU/NCHA Westgate Community Health Center,1650 Osceola Dr,West Palm Beach,FL,33409,(561) 803-8880,https://www.fau.edu/nursing,true,12.29,original
boynton-beach-fl,Boynton Beach,FL,"Florida Community Health Centers, Inc.",5827 Corporate Way,West Palm Beach,FL,33407,(561) 612-6524,https://www.fchcinc.org,true,16.52,original
boynton-beach-fl,Boynton Beach,FL,Annie L. Weaver Health Center,2011 NW 3rd Ave,Pompano Beach,FL,33060,(954) 786-5901,https://WWW.BROWARDHEALTH.ORG/BODY.CFM?ID=846,true,19.0,original
boston-ma,Boston,MA,Bridge Over Troubled Waters,47 West St,Boston,MA,02111,(857) 654-1000,http://www.bridgeotw.org/,true,0.33,places
boston-ma,Boston,MA,Connecticut River Valley Farmworker Health Program,40 Court Street,Boston,MA,02108,(617) 426-2225,http://www.massleague.org/Programs/CRVFarmWorkerHealthProgram/AboutCRVFHP-InEnglish.php,true,0.48,original
boston-ma,Boston,MA,WASHINGTON STREET CLINIC,885 Washington Street,Boston,MA,02111,(617) 482-7555,https://www.scchc.org,true,0.7,original
boston-ma,Boston,MA,NORTH END WATERFRONT HEALTH,332 Hanover St,Boston,MA,02113,(617) 643-8085,https://www.northendwaterfronthealth.org,true,0.9,original
boston-ma,Boston,MA,The Dr. Gerald Hass Center,400 Shawmut Avenue,Boston,MA,02118,(617) 425-2000,,true,1.2,
boston-ma,Boston,MA,Seaport,505 Congress St,Boston,MA,02210,(617) 464-7620,https://www.windsorcommunities.com/properties/waterside-place-by-windsor/?utm_campaign=GoogleMyBusiness,true,1.55,places
bonney-lake-wa,Bonney Lake,WA,New Puyallup Clinic,201 W Main,Puyallup,WA,98371,(253) 597-4550,https://www.commhealth.org,true,5.74,original
bonney-lake-wa,Bonney Lake,WA,Sea Mar CHC - Puyallup 125th Street Ct. E.,10217 125th Street Ct E,Puyallup,WA,98374,(206) 864-4550,https://www.seamar.org,true,6.18,original
bonney-lake-wa,Bonney Lake,WA,YMCA of Greater Seattle Arcadia Shelter and Drop-In Center,932 Auburn Way S,Auburn,WA,98002,(206) 382-5022,https://www.seattleymca.org/social-impact-center/youth-young-adults/housing-options-shelter/arcadia,true,8.42,places
bonney-lake-wa,Bonney Lake,WA,HealthPoint Auburn,126 Auburn Ave,Auburn,WA,98002,(253) 735-0166,https://www.healthpointchc.org,true,9.14,original
bonney-lake-wa,Bonney Lake,WA,ICHS at Sound Auburn,4238 Auburn Way N,Auburn,WA,98002,(253) 444-0106,https://www.ichs.com,true,11.53,original
bonney-lake-wa,Bonney Lake,WA,Neighborcare Health at Rainier Beach,9245 Rainier Ave S,Seattle,WA,98118,(206) 721-2326,https://www.neighborcare.org,true,23.76,original
bonita-springs-fl,Bonita Springs,FL,Bonita Springs Health Center,11921 Saradrienne Ln,Bonita Springs,FL,34135,(239) 344-2322,https://www.fhcswf.org,true,4.15,original
bonita-springs-fl,Bonita Springs,FL,Healthcare Network North (Veterans Park),1845 Veterans Park Dr,Naples,FL,34109,(239) 658-3000,https://www.HealthcareSWFL.org,true,8.53,original
bonita-springs-fl,Bonita Springs,FL,Huntingdon Health Services Suite 201,43 Barkley Cir STE 201,Fort Myers,FL,33907,(239) 936-5250,https://www.mcrhs.org,true,16.65,original
bluffton-sc,Bluffton,SC,"BEAUFORT-JASPER HAMPTON COMP HLTH SERVICES, INC.",721 Okatie Hwy,Okatie,SC,29909,(843) 987-7400,https://www.bjhchs.org,true,7.55,original
bluffton-sc,Bluffton,SC,Pennsylvania Avenue Resource Center (PARC),425 Pennsylvania Ave,Savannah,GA,31404,(912) 495-8887,https://www.jclewishealth.org,true,17.05,original
bluffton-sc,Bluffton,SC,"CURTIS V. COOPER PRIMARY HEALTH CARE, INC",106 E Broad St,Savannah,GA,31401,(912) 527-1000,https://www.cvcphc.net/,true,17.35,places
bluffton-sc,Bluffton,SC,Coastal Community Health - Savannah- Continuity Clinic,1107 E 66th St,Savannah,GA,31404,(912) 275-8028,https://www.coastalchs.org,true,20.06,original
bloomingdale-il,Bloomingdale,IL,ACCESS Martin T. Russo Family Health Center,245 S Gary Ave Lowr Level,Bloomingdale,IL,60108,(630) 893-5230,https://www.accesscommunityhealth.net,true,2.15,original
bloomingdale-il,Bloomingdale,IL,Legacy Medical Care - Addison,"2055 W Army Trail Rd, Ste 104",Addison,IL,60101,(630) 599-5400,https://www.legacymedicalcare.org,true,2.26,original
bloomingdale-il,Bloomingdale,IL,VNA Health Center- Mona Kea,397 S Schmale Rd,Carol Stream,IL,60188,(630) 892-4355,https://www.vnahealth.com,true,3.98,original
bloomingdale-il,Bloomingdale,IL,1515 E Lake St,"1515 E Lake St, Ste 202",Hanover Park,IL,60133,(844) 599-3700,https://www.greaterfamilyhealth.org,true,4.15,original
bloomingdale-il,Bloomingdale,IL,Hamdard Health Addison,228 E Lake St,Addison,IL,60101,630-835-1430 x258,https://www.hamdardhealth.org/,true,5.05,original
bloomingdale-il,Bloomingdale,IL,PCC Melrose Park Family Health Center,"1111 Superior St, Suite 101",Melrose Park,IL,60160,(708) 406-3040,https://www.pccwellness.org/locations/pcc-melrose-park-family-health-center/?utm_source=google&utm_campaign=google_business&utm_content=profile_link,true,12.46,places
bloomfield-ct,Bloomfield,CT,Charter Oak Health Center Bloomfield,693 Bloomfield Ave,Bloomfield,CT,06002,(860) 243-6584,https://www.thecharteroak.org,true,0.71,original
bloomfield-ct,Bloomfield,CT,Jumoke Academy SMaRT SBHC,339 Blue Hills Ave RM 138,Hartford,CT,06112,(860) 527-0575,http://jumokeacademy.org/,true,2.95,places
bloomfield-ct,Bloomfield,CT,InterCommunity Inc.,16 Coventry St,Hartford,CT,06112,(860) 714-3704,https://www.intercommunityct.org/?utm_source=GMBSocialClimb&utm_medium=InterCommunityHealthCare,true,3.02,places
bloomfield-ct,Bloomfield,CT,Community Health Services at Windsor,503 Windsor Ave,Windsor,CT,06095,(860) 249-9625,http://www.chshartford.org/,true,3.58,places
bloomfield-ct,Bloomfield,CT,Community Health Services,500 Albany Ave,Hartford,CT,06120,(860) 808-8703,http://www.chshartford.org,true,4.25,original
bloomfield-ct,Bloomfield,CT,Wheeler Family Health and Wellness Center - 49,49 Woodland St,Hartford,CT,06105,(860) 793-3500,https://www.wheelerclinic.org,true,4.35,original
bethlehem-pa,Bethlehem,PA,Star Community Health Dental - Bethlehem,"511 E 3rd St, Ste 260",Bethlehem,PA,18015,(484) 526-2460,https://starcommunityhealth.org,true,0.95,original
bethlehem-pa,Bethlehem,PA,Neighborhood Health Centers of the Lehigh Valley- Bethlehem,1210 E 4th St,Bethlehem,PA,18015,(484) 408-0755,http://www.nhclv.org/,true,1.33,places
bethlehem-pa,Bethlehem,PA,Children's Clinic at Sheridan,521 N 2nd St,Allentown,PA,18102,(610) 969-4300,https://www.valleyhealthpartners.org/,true,4.44,original
bethlehem-pa,Bethlehem,PA,Community Health and Dental Care-Barto,1315 Route 100,Barto,PA,19504,(610) 326-9460,http://ch-dc.org/,true,19.03,places
bethesda-md,Bethesda,MD,Friendship Place,4713 Wisconsin Ave NW,Washington,DC,20016,(202) 364-1419,https://ww.unityhealthcare.org,true,2.29,original
bethesda-md,Bethesda,MD,Jackson-Reed High School (SBMH),3950 Chesapeake St NW,Washington,DC,20016,(202) 282-0120,https://profiles.dcps.dc.gov/Jackson-Reed+High+School,true,2.41,original
bethesda-md,Bethesda,MD,"Community Clinic, Inc",8665 Georgia Ave,Silver Spring,MD,20910,(301) 340-7525,https://www.cciweb.org,true,4.01,original
bethesda-md,Bethesda,MD,Roosevelt High School,4301 13th St Nw,Washington,DC,20011,(202) 576-6130,http://theodorerooseveltdc.org/,true,4.62,places
bethesda-md,Bethesda,MD,La Casa Community Health Action Center,3166 Mount Pleasant St NW,Washington,DC,20010,(202) 507-4800,https://www.lcdp.org,true,4.83,original
bethesda-md,Bethesda,MD,Elizabeth Taylor Medical Center,1377 R St NW,Washington,DC,20009,(202) 745-7000,https://www.whitman-walker.org,true,5.99,original
carson-city-nv,Carson City,NV,Nevada Health Centers Carson City School Based,618 W Musser St,Carson City,NV,89703,(800) 787-2568,https://www.nvhealthcenters.org,true,0.25,original
carson-city-nv,Carson City,NV,Western Sierra Medical Clinic - Kings Beach,8665 Salmon Ave,Kings Beach,CA,96143,(530) 274-9762,https://www.wsmcmed.org,true,14.49,original
carson-city-nv,Carson City,NV,El Dorado Community Health Center South Lake Tahoe,3443 Lake Tahoe Blvd,South Lake Tahoe,CA,96150,(530) 621-7700,https://edcchc.org/,true,18.43,places
carson-city-nv,Carson City,NV,Community Health Alliance Neil Road Health Center,3915 Neil Rd,Reno,NV,89502,(775) 329-6300,https://www.chanevada.org,true,22.46,original
carmel-in,Carmel,IN,Aspire Indiana Health - Carmel,697 Pro Med Ln,Carmel,IN,46032,(877) 574-1254,http://www.aspireindiana.org/,true,1.16,places
carmel-in,Carmel,IN,SHALOM HEALTH CARE CENTER -MERIDIAN STREET,"9240 N Meridian St, Suite 180",Indianapolis,IN,46260,(317) 582-1100,http://www.shalomhealthcenter.org/,true,3.82,places
carmel-in,Carmel,IN,"INDIANA HEALTH CENTERS, INC.",8003 Castleway Dr,Indianapolis,IN,46250,(317) 576-1335,https://None,true,6.02,original
carmel-in,Carmel,IN,Jane Pauley Community Health Center at Castleton,7481 N Shadeland Ave,Indianapolis,IN,46250,(844) 695-7242,https://www.janepauleychc.com,true,7.05,original
carmel-in,Carmel,IN,Eskenazi Health Center Pecar,6940 Michigan Rd,Indianapolis,IN,46268,(317) 266-2901,http://www.eskenazihealth.edu/find-a-location/pecar,true,7.62,original
carmel-in,Carmel,IN,Adult and Child at Center for Inquiry School 84,440 E 57th St,Indianapolis,IN,46220,(877) 882-5122,https://myips.org/josephbingham/,true,8.01,places
cape-coral-fl,Cape Coral,FL,Huntingdon Health Services Suite 201,43 Barkley Cir STE 201,Fort Myers,FL,33907,(239) 936-5250,https://www.mcrhs.org,true,4.42,original
cape-coral-fl,Cape Coral,FL,CAPE CORAL HEALTH CENTER,316 Del Prado Blvd S,Cape Coral,FL,33990,(239) 278-3600,https://www.fhcswf.org,true,4.76,original
cape-coral-fl,Cape Coral,FL,Family Care North,"1265 Creekside Pkwy, Ste 206",Naples,FL,34108,(239) 658-3000,http://geraldlevensmd.com/,true,23.39,places
camarillo-ca,Camarillo,CA,"Clinicas del Camino Real, Inc. - Paseo Camarillo",730 Paseo Camarillo,Camarillo,CA,93010,(805) 720-7021,https://www.clinicas.org,true,1.07,original
camarillo-ca,Camarillo,CA,Las Posas Family Medical Group,3801 Las Posas Rd STE 214,Camarillo,CA,93010,(805) 437-0900,https://hca.venturacounty.gov/health-clinics/las-posas-family-medical-group/,true,1.7,places
burlington-nc,Burlington,NC,Piedmont Health SeniorCare Burlington Community Health Center,1214 Vaughn Rd,Burlington,NC,27217,(336) 506-5840,https://www.piedmonthealth.org,true,3.19,original
burlington-nc,Burlington,NC,Kintegra at Clover Garden School,5806 Pagetown Road,Burlington,NC,27217,(336) 586-9440,https://www.kintegra.org,true,9.92,original
burlington-nc,Burlington,NC,TAPM-Admin Office,2210 East Cone Boulevard,Greensboro,NC,27405,(336) 355-9696,https://tapmedicine.com/,true,16.13,places
burlington-nc,Burlington,NC,Piedmont Health Services,322 Main Street,Prospect Hill,NC,27314,(252) 338-4400,https://piedmonthealth.org/locations/#prospect-hill,true,19.75,places
burlington-nc,Burlington,NC,Person Family Dental Center Caswell Site,1076 Nc Highway 86 North,Yanceyville,NC,27379,(336) 694-5462,http://www.personfamilymedical.com/,true,24.21,places
burlington-nc,Burlington,NC,CFMC Urgent Care,439 US Highway 158 W STE B,Yanceyville,NC,27379,(336) 694-1181,https://compassionhealthcare.org/urgent-care/,true,24.54,original
burleson-tx,Burleson,TX,Southeast Community Health Center,2909 Mitchell Blvd,Fort Worth,TX,76105,(817) 916-4333,https://www.ntachc.org,true,12.85,original
burleson-tx,Burleson,TX,HHM Health Arlington,3201 Matlock Rd,Arlington,TX,76015,(214) 221-0855,https://www.hhmhealth.org/?utm_source=GMBSocialClimb&utm_medium=ThePearlWomen%27sCenteratHHMHealthArlington,true,15.92,places
burien-wa,Burien,WA,Sea Mar CHC - Burien Ambaum Blvd. SW,14434 Ambaum Blvd SW,Burien,WA,98166,(206) 812-6140,https://www.seamar.org,true,0.15,original
burien-wa,Burien,WA,HealthPoint Highline Campus Health Center,225 S 152nd St,Burien,WA,98148,(425) 277-1311,https://www.healthpointchc.org/find-clinics/highline-high-school-campus-health-center,true,0.81,places
burien-wa,Burien,WA,White Center Public Health Center,9934 8th Ave SW,Seattle,WA,98106,(206) 477-0000,https://kingcounty.gov/en/dept/dph/health-safety/health-centers-programs-services/public-health-centers/white-center,true,3.01,places
burien-wa,Burien,WA,Neighborcare Health at Rainier Beach,9245 Rainier Ave S,Seattle,WA,98118,(206) 721-2326,https://www.neighborcare.org,true,4.95,original
burien-wa,Burien,WA,ICHS - HOLLY PARK MEDICAL & DENTAL CLINIC,3815 S Othello St,Seattle,WA,98118,(206) 788-3500,https://www.ichs.com,true,5.43,original
burien-wa,Burien,WA,SEATTLE INDIAN HEALTH BOARD,611 12th Ave S,Seattle,WA,98144,(206) 324-9360,https://www.sihb.org,true,8.85,original
